"Column_Name","TBLNAME","CRFNAME","Description","LENGTH","TYPE","CODE","NOTE","update_stamp"
"BID","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","Blinded Participant ID","10","T","","","2018-11-27 11:12:55.0"
"VISCODE","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","VISIT CODE","1","T","1=scv1;2=scv2;3=scv3;4=scv4;5=scv5","","2018-11-27 11:12:55.0"
"DONE","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","Was assessment/procedure done?","3","N","1=Yes;0=No","","2018-11-27 11:12:55.0"
"NDREASON","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","If No, reason not done:","40","N","1=Participant Unable for Cognitive Reasons;2=Participant Unable for Other Reasons (Physical, auditory, etc.);3=Participant/Study Partner Refused;7=Site Error;8=Other Reason;9=Unknown","NA: missing value","2018-11-27 11:12:55.0"
"ASCBOOK","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","1. In the past 3 months, how well did you balance a credit card statement, pay bills, or use an ATM to make a withdrawal or deposit?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASTRAVL","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","2. In the past 3 months, did you drive a car without getting lost, or did you travel to wherever you needed by using public or other transport?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASAPPLI","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","3. In the past 3 months, did you use an appliance (for example, a microwave, dishwasher, vacuum cleaner, or TV remote), or did you carry out household repairs?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASLAUN","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","4. In the past 3 months, did you do the laundry?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASPAY","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","5. In the past 3 months, did you select and pay for items when shopping?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASSNACK","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","6. In the past 3 months, did you prepare meals or snacks?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASTIMES","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","7. In the past 3 months, how well did you remember important dates and times, such as appointments or meetings?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASFIND","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","8. In the past 3 months, did you usually find your personal belongings at home - for example keys, glasses, wallet or books?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASWDOWN","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","9. In the past 3 months, how well were you able to write things down so that other people understood them (for example, letters or detailed notes or lists)?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASMOVIE","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","10. In the past 3 months, how well did you follow TV programs or movies and remember the details of the story?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASCEVNT","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","11. In the past 3 months, how well did you talk about and remember current events that you heard or read about?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASPHONE","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","12. In the past 3 months, how well did you make telephone calls, including look up numbers or call directory assistance if necessary?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASMEDS","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","13. In the past 3 months, did you take medications regularly - including prescription or over the counter medications?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASPLAN","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","14. In the past 3 months, did you plan and organize complex activities for you or for groups of people, for example travel, running errands, participating in group activities (such as religious services), or carrying out hobbies or pastimes?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASCOMPL","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","15. In the past 3 months, did you complete complex activities such as hobbies or pastimes, for example playing card games, reading books, gardening?","36","N","3=As well as usual, with no difficulty;2=With a little difficulty;1=With a lot of difficulty;0=You did not do this activity","NA: missing value","2018-11-27 11:12:55.0"
"ASCELL","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16. Did you ever use a cellphone or smartphone?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASCELLUSE","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16a. If yes, during the past 3 months, did you use a cellphone or smartphone?","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASCALL","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16b.i. Make a call:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASTEXT","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16b.ii. Send a text message:","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASINTER","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16b.iii. Access the internet (e.g., websites, Facebook, etc):","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
"ASAPP","ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","16b.iv. Use an App (including playing a game):","3","N","1=Yes;0=No","NA: missing value","2018-11-27 11:12:55.0"
