Column_Name,Description,Type,Units,Range,Missing,Coding,Comment
SubjectId,Clinical SubjectID,String,,,,,
Fu,Indication of follow-up,Numeric,,0-5,,"0=baseline, 1=first follow-up etc.",
VisitTime,Time of visit since baseline,String,,Baseline - Month 96,,,
Studyname,Name of study,String,,,,,
Study,Study coded as number,Numeric,,1-11,,"1=Amsterdam, 2=Antwerp, 3=DESCRIPA, 4=EDAR, 5=GAP, 6=Gothenburg, 7=IDIBAPS, 8=Lausanne, 9=Leuven, 10=Pharmacog, 11=St Pau",
Center,Name of center,String,,,,,
Eduy,Years of education,Numeric,Years,0-24,,,
Eduy_IMP,Years of education with imputed values for missings,Numeric,Years,0-24,,,Values were imputed using regression analyses per cohort
Age,Age when assessed,Numeric,Years,45-94,,,
Gender,Gender,Numeric,,0-1,,"0=Male, 1=Female",
Diagnosis,Clinical diagnosis,String,,,No value,"NL = normal (Control), SCI = Subjective Cognitive Impairment, MCI = Mild Cognitive Impairment, AD=Alzheimer's disease type dementia",
Diag_num,Clinical diagnosis as number,Numeric,,1-6,No value,"1=NL, 2=SCI, 3=MCI, 4=AD, 5=Other dementia, 6=Other diagnosis",
BL_Diaggroups,Diagnosis groups at baseline coded as number,Numeric,,1-3,,"1=Cognitively normal (NL + Subjective Cognitive Impairment), 2=MCI, 3=AD-type dementia",Both NL and SCI subjects were coded as 1 in this variable
AMYLOIDstatus,Dichotomous amyloid variable,Numeric,,0-1,,"0=normal, 1=abnormal","Based on 42/40 ratio from central analyses, amyloid PET or local ab 42. Variable abmethod specifies which method is used"
ABmethod,Method of defining amyloidstatus,Numeric,,1-3,,"1=central 42/40 ratio, 2=amyloid PET, 3=local ab42 with local cut-off",
MMSE,Mini Mental State Examination,Numeric,Score,0-30,No value,,
DateMMSE,Relative date of MMSE assessment since baseline clinical visit or neuropsych exam,Numeric,Years, -1.48 - 8.04,No value,,Years since baseline visit
DateBloodCollection,Relative date of Blood collection in years since baseline clinical visit or neuropsych exam,Numeric,Years, -2.8 - 4.43,No value,,Years since baseline visit
DateCSFCollection,Relative date of CSF collection in years since baseline clinical visit or neuropsych exam,Numeric,Years, -2.8 - 4.43,No value,,Years since baseline visit
DateMRI,Relative date of MRI assessment in years since baseline clinical visit or neuropsych exam,Numeric,Years, -8.74 - 10.55,No value,,Years since baseline visit
DatePET,Relative date of PET assessment in years since baseline clinical visit or neuropsych exam,Numeric,Years,0,No value,,Years since baseline visit
