cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
VisitTime,Time of visit since baseline,"Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.",FAQ - Remember,0.31292285435771267,False
Eduy,Years of education,The number of education years that a subject has competed.,Education,0.6772727356350194,True
Age,Age when assessed,Geriatric Depression Scale Short Form total score.,Geriatric Depression Scale (GDS),0.45950660534407356,False
Gender,Gender,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,Biological Sex,0.5480570984961197,True
Diagnosis,Clinical diagnosis,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.",Diagnosis,0.5493620242113645,True
AMYLOIDstatus,Dichotomous amyloid variable,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,A-beta 1-42 in Plasma,0.6249552840770388,False
MMSE,Mini Mental State Examination,Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.7700112729702336,True
Local_AB42,CSF AB 42 value of local assessment,"A standardized rating scale developed by John C. Morris in 1997 to evaluate the severity of an individual's cognitive impairment. This instrument contains 6 areas which include memory, orientation, judgment and problem solving, community affairs, home and hobbies, and personal care. Each item is rated on a scale from 0 to 3 with 0 being none and 3 being severe.",Clinical Dementia Rating (CDR),0.4203387278647501,False
Local_AB42,Dichotomous CSF AB42 of local assessment,"A standardized rating scale developed by John C. Morris in 1997 to evaluate the severity of an individual's cognitive impairment. This instrument contains 6 areas which include memory, orientation, judgment and problem solving, community affairs, home and hobbies, and personal care. Each item is rated on a scale from 0 to 3 with 0 being none and 3 being severe.",Clinical Dementia Rating (CDR),0.44617558789884443,False
Central_CSF_NFL,Neurofilament light values of central CSF analyses,"Quantification of the levels of neurofilament light chain, typically in blood or cerebrospinal fluid. Used as a marker of neurodegeneration, in Alzheimer's disease, Amyotrophic Lateral Sclerosis, multiple sclerosis and Huntington's disease.",Neurofilament Light Chain (NfL) in Plasma,0.582976000489894,False
Central_CSF_Neurogranin,Neurogranin values of central CSF analyses,A neurogranin that is encoded in the genome of human.,Neurogranin (NRGN) in CSF,0.4886165639780225,True
Central_CSF_YKL40,YKL-40 values of central CSF analyses,The determination of the amount of YKL-40 protein present in a sample.,YKL-40 in CSF,0.49797275477599695,True
Hippo_sum_FS_adj,Sum of hippocampal volume left and right adjusted for ICV,Measurement of the volume of the hippocampus,Hippocampus Volume,0.6204847635001463,True
Lhippo_FS_adj,Volume of left hippocampus adjusted for ICV,Measurement of the volume of the hippocampus,Hippocampus Volume,0.660142038170057,False
Rhippo_FS_adj,Volume of right hippocampus adjusted for ICV,Measurement of the volume of the hippocampus,Hippocampus Volume,0.6523442516297261,False
CDR_Global,Clinical Dementia Rating Scale Global score,"A standardized rating scale developed by John C. Morris in 1997 to evaluate the severity of an individual's cognitive impairment. This instrument contains 6 areas which include memory, orientation, judgment and problem solving, community affairs, home and hobbies, and personal care. Each item is rated on a scale from 0 to 3 with 0 being none and 3 being severe.",Clinical Dementia Rating (CDR),0.6517004197488121,True
GDS15,Geriatric Depression Scale - 15 items,Geriatric Depression Scale Short Form total score.,Geriatric Depression Scale (GDS),0.8420218987977433,True
CardiovascularDis,History of cardiovascular disorders,Medical history pertaining to the heart or blood vessels.,Cardiovascular,0.737263550791249,True
Alcohol,Alcohol use ,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.6757462010494459,True
AlcoholAmount,Alcohol units per week ,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.41094630589139564,False
Depression,History of depression,A melancholy feeling of sadness and despair.,Depression,0.5273243482476441,True
Obesity,Current obesity,A disorder involving an excessive amount of body fat.,Obesity,0.46105509027625785,True
Stroke,History of Stroke,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.,MHIS-NACC - History of Stroke,0.6427451131918891,False
APOEdich,Dichotomous APOEe4 carrier,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE Allele 1,0.5917876133231545,False
APOE_Allele1,Values for APOE allele 1,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE e4,0.6502694157406537,False
APOE_Allele2,Values for APOE allele 2,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,0.6750336662899687,False
