cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
SUBJID,Subject Identifier for the Study,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7537315905469759,True
SEX,Sex,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,Biological Sex,0.6580225227081681,True
AGE,Age (years),The year in which a person was born.,Year of Birth,0.7826809135583404,False
HGTCMB,Height (cm) at Baseline,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.7094139283214088,False
WGTKGB,Weight (kg) at Baseline,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.6877387213797391,False
BMIB,Body Mass Index (BMI) (kg/m2)  at Baseline,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History or presence of hypertension.,MHIS-NACC - History or Presence of Hypertension,0.6896402518625296,False
EDUC,Level of Education,The number of education years that a subject has competed.,Education,0.7426928490666782,True
MRTLST,Marital Status,A demographic parameter indicating a person's current conjugal status.,Marital Status,0.8356040029086008,True
ALCO,Alcohol Consumption,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.8367279562001367,True
PCC01,Depression Diagnosis,"Medical history of symptoms, physical examination results, and/or laboratory test results related to mental health.",Psychiatric,0.709466168862729,False
PCC05,Stroke Diagnosis,A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.,Stroke,0.7078469554540021,True
PCC11,Diabetes Mellitus Diagnosis,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,Diabetes,0.7993539781782272,True
PCC15,Carcinoma Diagnosis,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",Cancer,0.6861449030088105,True
PCC17,Urinary tract disorder Diagnosis,"Urination at short intervals; it may result from increased urine formation, decreased bladder capacity, or lower urinary tract irritation.",Urinary Frequency,0.7317634491776203,False
PCC21,Anxiety Diagnosis,"An instrument for measuring anxiety. It is designed to differentiate between temporary \state anxiety\ and general, long-standing \trait anxiety\. (Copyright Mind Garden, Inc.)",The State-Trait Anxiety Inventory (STAI),0.7178507619655705,False
PCC23,Insomnia Diagnosis,A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.,Insomnia,0.796274843076482,True
FALLSYN,Any Falls,"A sudden movement downward, usually resulting in injury. [ NCI ]",Fall,0.6397131820401453,True
MMSETOT,Mini-Mental State Examination (MMSE) Total Score,Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.9945594163610528,True
ADASTOT11,ADAS-Cog11 Total Score,"Alzheimer's Disease Assessment Scale-Cognitive CDISC Version (ADAS-Cog CDISC Version) Word recognition task for word 11 Trials 1, 2, 3.",Alzheimer's Disease Assessment Scale 11-item (ADAS11),0.7858796297695871,True
ADCSTOT,ADCS-ADL Total Score,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (ADCS-ADL) Total score.,Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS_ADL),0.8082661175807143,True
