cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
subjectID,Subject ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7318564796390852,True
apoe,APOE: genotype (hetorozygous/ homozygous),"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,0.7473411094015108,True
apoe4,APOE4: at least one allele 4,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,0.802399606512554,False
meddepr_act,"Medical history: Depression, Currently","Medical history of symptoms, physical examination results, and/or laboratory test results related to mental health.",Psychiatric,0.8124082236064623,False
medpark_act,"Medical history: Parkinson's disease, Currently",Medical history pertaining to the kidney,Renal,0.7550060238346022,False
meddiab_act,"Medical history: Diabetes mellitus, Currently",Medical history pertaining to the metabolic system,Metabolic,0.8136328764374615,False
medanx_act,"Medical history: Anxiety disorder, Currently",Medical history pertaining to allergies or drug sensitivities,Allergies or Drug Sensitivities,0.7903664978399818,False
medob_act,"Medical history: Obesity, Currently",Medical history pertaining to the metabolic system,Metabolic,0.8159881366833185,False
medlip_act,"Medical history: Hyperlipidemia, Currently",Medical history pertaining to the kidney,Renal,0.7983504116053323,False
medhear_act,"Medical history: Hearing disorder, Currently",Medical history pertaining to respiration.,Respiratory,0.7891678862523457,False
medcancer1,Cancer: Treatment 1,MCP-1,Monocyte Chemoattractant Protein 1 in CSF,0.6633613483276182,False
phys_cardc,"Physical examination: Cardiovascular, Clinically significant",Medical history pertaining to the heart or blood vessels.,Cardiovascular,0.76156981903431,True
phys_respc,"Physical examination: Respiratory, Clinically significant",Medical history pertaining to respiration.,Respiratory,0.7932390800606609,True
phys_gastrc,"Physical examination: Gastrointestinal, Clinically significant",Medical history pertaining to the stomach and intestines.,Gastrointestinal,0.7798066902278621,True
risk_surg,Risk factors: Had surgery?,Medical history pertaining to major surgical procedures,Major Surgical Procedures,0.7245771079651637,True
sex,Gender,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,Biological Sex,0.7335641310190321,True
age,Age of participant,The year in which a person was born.,Year of Birth,0.667010641795589,False
race,Race of the participant,The year in which a person was born.,Year of Birth,0.6468073717501576,False
ethnicity,Ethnicity of participant,A geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,Race,0.6672857394163865,False
marital,Current marital status,A demographic parameter indicating a person's current conjugal status.,Marital Status,0.8076978416332931,True
occup,Occupation title,A grouping of occupations and fields of study.,Profession,0.7799705157990126,True
druguse,Lifestyle interview: Drug use,The use of a drug for a reason other than which it was intended or in a manner or in quantities other than directed.,Drug Abuse,0.6684462128769498,True
alcohol,Lifestyle interview: Alcohol intake,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.7350117158928644,True
Left_Hippocampus,Left Hippocampus,Left_Whole_hippocampus,Left Whole Hippocampus Volume,0.9468070631366686,False
Right_Hippocampus,Right Hippocampus,Left_Whole_hippocampus,Left Whole Hippocampus Volume,0.9209328000065059,False
