cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7398509609055274,True
Visit_label,Time point at which data were collected,The year in which a person was born.,Year of Birth,0.6626141011594824,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7240376878495868,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7398509609055274,True
Visit_label,Time point at which data were collected,The year in which a person was born.,Year of Birth,0.6626141011594824,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7398509609055274,True
Visit_label,Time point at which data were collected,The year in which a person was born.,Year of Birth,0.6626141011594824,False
Candidate_Age,Candidate Age (Months) when auditory processing was done,A subtest of the Boston Diagnostic Aphasia Examination to to evaluate auditory perception.,Boston Diagnostic Aphasia Examination Auditory Subtest,0.7293257431165638,False
diagnosed_impairment,Does the participant have a diagnosed hearing impairment?,"Partial or complete loss of the ability to detect or understand sounds resulting from damage to the outer, middle, or inner ear structures. Causes include exposure to loud noise, ear infections, injuries to the Partial or complete loss of the ability to detect or understand sounds resulting from damage to the outer, middle, or inner ear structures. Causes include exposure to loud noise, ear infections, injuries to the ear, genetic, and congenital disorders.",Hypoacusis,0.7106120133714049,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7398509609055274,True
Visit_label,Time point at which data were collected,The year in which a person was born.,Year of Birth,0.6626141011594824,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7240376878495868,False
Diastolic_blood_pressure,Diastolic Blood Pressure,Blood pressure that is abnormally high.,High Blood Pressure,0.7665239254293126,True
Weight,Weight,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.7078645052831061,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7398509609055274,True
Visit_label,Time point at which data were collected (which time point was associated with separate lumbar puncture visit),"Measurement of glucose metabolism in the left hippocampus, with values normalized to the glucose uptake in the pons.",Glucose Metabolism in Left Hippocampus (Normalized to Pons),0.7055079353509682,False
