cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1,in_top_2,in_top_3,in_top_4,in_top_5,in_top_6,in_top_7,in_top_8,in_top_9,in_top_10,in_top_11,in_top_12,in_top_13,in_top_14,in_top_15,in_top_16,in_top_17,in_top_18,in_top_19,in_top_20
SUBJID,Subject Identifier,The number of education years that a subject has competed.,Education,0.577200683890223,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SEX,Code indicating sex,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.5614894465731756,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ENTAGE,Age at study entry (years),The number of education years that a subject has competed.,Education,0.6219896844517193,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EDCRN,Years of formal education subject received,The number of education years that a subject has competed.,Education,0.8307625553407918,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LVACCLNM,Long-form variable for the patient's current living accommodation,A description of a personal residence and the relationship between the occupants that reside there.,Living Situation,0.5900708913481175,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ALCSTLNM,Long-form variable for status of Alcohol use,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.5864997790572818,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DISCDLNM,"Long-form variable for disease code for any selected diagnoses as the response to the question ""Does the subject/caregiver currently have any of the following diagnoses?""",Clinical Dementia Rating (CDR) Personal care.,CDR - Personal Care,0.5426923568648347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FALLSFLG,"Flag variable for the answer to ""Has the subject had any falls since the last data collection (or in the last three months at the baseline observation)?""",A question about whether an individual has or had shortness of breath.,Shortness of Breath,0.5398537337936474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
PSHYPRN,"Flag variable for a YES answer to any of the questions ""Is the subject currently taking any psychiatric/hypnotic treatments?/ Has the subject taken any psychiatric/hypnotic treatment since baseline?/ Has the subject taken any psychiatric/hypnotic treatment since the last visit?""",Medical history pertaining to allergies or drug sensitivities,Allergies or Drug Sensitivities,0.4990827038047769,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MMSERN,"Indicator variable for MMSE Item correct response; if MMSE Item is Total Score, value ranges from 0-30",Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.7233844710523338,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NPIRN,NPI Item Result Numeric (See documentation in Other Resources in ADDI GERAS-EU dataset description),Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,Neuropsychiatric Inventory (NPI),0.5875109208069129,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
