cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4158917289932668,True
ASSCORE,Total Score,Functional Activities Questionnaire (FAQ) Total Score.,Functional Activities Questionnaire (FAQ),0.5306742019001336,False
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
MEMORY,Memory Score,Clinical Dementia Rating (CDR) Memory.,CDR - Memory,0.5913095689247931,True
ORIENT,Orientation Score,Clinical Dementia Rating (CDR) Orientation.,CDR - Orientation,0.48098825235737575,True
JUDGE,Judgment and Problem Solving Score,Clinical Dementia Rating (CDR) Judgment and problem solving.,CDR - Judgment and Problem Solving Score,0.6765106970216439,True
COMMUN,Community Affairs Score,Clinical Dementia Rating (CDR) Community affairs.,CDR - Community Affairs,0.5355492517919587,True
HOME,Home and Hobbies Score,Clinical Dementia Rating (CDR) Home and hobbies.,CDR - Home and Hobbies,0.5979135016715192,True
CARE,Personal Care Score,Clinical Dementia Rating (CDR) Personal care.,CDR - Personal Care,0.6216231565262553,True
CDSOB,Sum of Boxes (system populated),Clinical Dementia Rating (CDR) Sum of Boxes.,Clinical Dementia Rating Scale Sum of Boxes (CDRSB),0.47182034481074797,True
CDGLOBAL,Global CDR (system populated),Clinical Dementia Rating (CDR) Community affairs.,CDR - Community Affairs,0.4660444882128346,False
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
MEMORY,"1. Compared to one year ago, do you feel that your memory has declined substantially?","Geriatric Depression Scale, Short Form (GDS-SF) Do you feel you have more problems with memory than most?",GDS-SF - More Memory Problems Than Most,0.6265504798569733,False
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.41330328362764557,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
ALCOHOL,Average number of alcoholic drinks consumed per day:,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.4084043263129984,True
SUBUSE,Has the participant used other substances (e.g. non-pharmacologic substances such as medical marijuana)?,Medical history pertaining to allergies or drug sensitivities,Allergies or Drug Sensitivities,0.4114109736778125,False
AEROBIC,"Average number of hours of aerobic exercise (i.e. jogging, swimming, bicycling) PER WEEK:","Any form of exercise or movement. Physical activity may include planned activity such as walking, running, basketball, or other sports. Physical activity may also include other daily activities such as household chores, yard work, walking the dog, etc.",Activity,0.2769899134936152,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.41330328362764557,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4159561340717041,True
IHSYMPTOM,System/Category,A grouping of occupations and fields of study.,Profession,0.3302364564974348,False
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
MMSCORE,MMSE TOTAL SCORE,Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.8075385805841928,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.4132921759930667,True
PXCARD,Cardiac,Medical history pertaining to the heart or blood vessels.,Cardiovascular,0.4444565935005255,False
PXMUSCUL,Musculoskeletal,"Pain that originates in the bones, muscles, tendons or ligaments.",Musculoskeletal Pain,0.5096315136713399,True
BID,Blinded Participant ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.41592448713292296,True
GDSATIS,1. Are you basically satisfied with your life?,"Geriatric Depression Scale, Short Form (GDS-SF) Are you basically satisfied with your life?",GDS-SF - Basically Satisfied With Life,0.6271923369410448,True
GDDROP,2. Have you dropped many of your activities and interests?,"Geriatric Depression Scale, Short Form (GDS-SF) Have you dropped many of your activities and interests?",GDS-SF - Dropped Activities and Interests,0.6577148123583204,True
GDEMPTY,3. Do you feel that your life is empty?,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel that your life is empty?",GDS-SF - Feel Life Is Empty,0.6587728784415879,True
GDBORED,4. Do you often get bored?,"Geriatric Depression Scale, Short Form (GDS-SF) Do you often get bored?",GDS-SF - Often Get Bored,0.6334022255896731,True
GDSPIRIT,5. Are you in good spirits most of the time?,"Geriatric Depression Scale, Short Form (GDS-SF) Are you in good spirits most of the time?",GDS-SF - Good Spirits Most of Time,0.638070478552537,True
