cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
SUBJID,Subject Identifier,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.5073602268577502,True
SEX,Code indicating sex,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,Biological Sex,0.34708567190976175,True
ENTAGE,Age at study entry (years),The number of education years that a subject has competed.,Education,0.4461044781381356,False
EDCRN,Years of formal education subject received,The number of education years that a subject has competed.,Education,0.6598943306834302,True
LVACCLNM,Long-form variable for the patient's current living accommodation,A description of a personal residence and the relationship between the occupants that reside there.,Living Situation,0.4513931337817041,True
ALCSTLNM,Long-form variable for status of Alcohol use,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.43848243686418353,True
DISCDLNM,"Long-form variable for disease code for any selected diagnoses as the response to the question ""Does the subject/caregiver currently have any of the following diagnoses?""",Clinical Dementia Rating (CDR) Personal care.,CDR - Personal Care,0.4066822819774549,False
FALLSFLG,"Flag variable for the answer to ""Has the subject had any falls since the last data collection (or in the last three months at the baseline observation)?""",A question about whether an individual has or had shortness of breath.,Shortness of Breath,0.41232263545794784,False
PSHYPRN,"Flag variable for a YES answer to any of the questions ""Is the subject currently taking any psychiatric/hypnotic treatments?/ Has the subject taken any psychiatric/hypnotic treatment since baseline?/ Has the subject taken any psychiatric/hypnotic treatment since the last visit?""",Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History or presence of hypertension.,MHIS-NACC - History or Presence of Hypertension,0.40396878317783597,False
MMSERN,"Indicator variable for MMSE Item correct response; if MMSE Item is Total Score, value ranges from 0-30",Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.627076340494095,True
NPIRN,NPI Item Result Numeric (See documentation in Other Resources in ADDI GERAS-EU dataset description),Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,Neuropsychiatric Inventory (NPI),0.4899301080539353,True
