cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
SUBJID,Subject Identifier,The number of education years that a subject has competed.,Education,0.577200683890223,False
SEX,Code indicating sex,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.5614894465731756,False
ENTAGE,Age at study entry (years),The number of education years that a subject has competed.,Education,0.6219896844517193,False
EDCRN,Years of formal education subject received,The number of education years that a subject has competed.,Education,0.8307625553407918,True
LVACCLNM,Long-form variable for the patient's current living accommodation,A description of a personal residence and the relationship between the occupants that reside there.,Living Arrangement,0.5900708913481175,False
ALCSTLNM,Long-form variable for status of Alcohol use,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.5864997790572818,True
DISCDLNM,"Long-form variable for disease code for any selected diagnoses as the response to the question ""Does the subject/caregiver currently have any of the following diagnoses?""",Clinical Dementia Rating (CDR) Personal care.,CDR - Personal Care,0.5426923568648347,False
FALLSFLG,"Flag variable for the answer to ""Has the subject had any falls since the last data collection (or in the last three months at the baseline observation)?""",A question about whether an individual has or had shortness of breath.,Shortness of Breath,0.5398537337936474,False
PSHYPRN,"Flag variable for a YES answer to any of the questions ""Is the subject currently taking any psychiatric/hypnotic treatments?/ Has the subject taken any psychiatric/hypnotic treatment since baseline?/ Has the subject taken any psychiatric/hypnotic treatment since the last visit?""",Medical history pertaining to allergies or drug sensitivities,Allergies or Drug Sensitivities,0.4990827038047769,False
MMSERN,"Indicator variable for MMSE Item correct response; if MMSE Item is Total Score, value ranges from 0-30",Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.7233844710523338,True
NPIRN,NPI Item Result Numeric (See documentation in Other Resources in ADDI GERAS-EU dataset description),Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,Neuropsychiatric Inventory (NPI),0.5875109208069129,True
