cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
SUBJID,Subject Identifier for the Study,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7608540050318401,True
SEX,Sex,Right_subiculum,Right Subiculum Volume,0.6113329442357611,False
AGE,Age (years),The year in which a person was born.,Year of Birth,0.6919819252618225,False
HGTCMB,Height (cm) at Baseline,Left_HATA,Left HATA Volume,0.6099215115083465,False
WGTKGB,Weight (kg) at Baseline,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.5998061461233718,False
BMIB,Body Mass Index (BMI) (kg/m2)  at Baseline,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.6982282670457393,True
EDUC,Level of Education,The number of education years that a subject has competed.,Education,0.7508625411075356,True
MRTLST,Marital Status,A demographic parameter indicating a person's current conjugal status.,Marital Status,0.7122960991168598,True
ALCO,Alcohol Consumption,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.7682816014675437,True
PCC01,Depression Diagnosis,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel happy most of the time?",GDS-SF - Feel Happy Most of Time,0.7186083113771424,False
PCC05,Stroke Diagnosis,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.,MHIS-NACC - History of Stroke,0.6802758586157466,False
PCC11,Diabetes Mellitus Diagnosis,Medical history pertaining to the metabolic system,Metabolic,0.6095663340304364,False
PCC15,Carcinoma Diagnosis,The determination of the amount of human epidermal growth factor receptor 2 present in a sample.,NEU Protein (HER2) in Plasma,0.5814197733942736,False
PCC17,Urinary tract disorder Diagnosis,Medical history pertaining to the genital and urinary organs or their functions.,Genitourinary,0.5592532372741765,True
PCC21,Anxiety Diagnosis,"Geriatric Depression Scale, Short Form (GDS-SF) Are you afraid that something bad is going to happen to you?",GDS-SF - Afraid of Something Bad Happening,0.6394367091748188,False
PCC23,Insomnia Diagnosis,A self-rated questionnaire which assesses sleep quality and disturbances over a one month time interval.,Pittsburgh Sleep Quality Index (PSQI),0.6297708192088795,False
FALLSYN,Any Falls,Left_HATA,Left HATA Volume,0.6705832969251675,False
MMSETOT,Mini-Mental State Examination (MMSE) Total Score,Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.9806408832781273,True
ADASTOT11,ADAS-Cog11 Total Score,"Alzheimer's Disease Assessment Scale-Cognitive CDISC Version (ADAS-Cog CDISC Version) Word recognition task for word 11 Trials 1, 2, 3.",Alzheimer's Disease Assessment Scale 11-item (ADAS11),0.7756563406312038,True
ADCSTOT,ADCS-ADL Total Score,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (ADCS-ADL) Total score.,Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS_ADL),0.8288092346209608,True
