cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7192525348154364,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Candidate Age (Months) when auditory processing was done,A subtest of the Boston Diagnostic Aphasia Examination to to evaluate auditory perception.,Boston Diagnostic Aphasia Examination Auditory Subtest,0.6701905944823415,False
diagnosed_impairment,Does the participant have a diagnosed hearing impairment?,"Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","FAQ - Pay Attention, Understand, Discuss",0.6305867649640088,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7192525348154364,False
Diastolic_blood_pressure,Diastolic Blood Pressure,Blood pressure that is abnormally high.,High Blood Pressure,0.6191615477468204,True
Weight,Weight,Right_subiculum,Right Subiculum Volume,0.6489473263120564,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected (which time point was associated with separate lumbar puncture visit),Measurement of the volume of the hippocampus,Hippocampus Volume,0.5516956884495843,False
Candidate_Age,Candidate Age (Months) at Lumbar Puncture,Measurement of the volume of the hippocampus,Hippocampus Volume,0.5878939834097255,False
tau,Total tau (t-tau) concentration in CSF,"Is a quantification of total tau protein, a biomarker for Alzheimer's disease.",tTau in CSF,0.7380039101810938,True
Amyloid_beta_1_42,Beta-amyloid 1-42 concentration in CSF,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,A-beta 1-42 in Plasma,0.7474060805404378,False
G_CSF,Granulocyte Colony Stimulating Factor (G-CSF) concentration in CSF,quantification of the amount of granulocyte colony-stimulating factor in a sample,Granulocyte Colony Stimulating Factor (G-CSF) in Plasma,0.7793764638542717,False
IL_15,Interleukin 15 concentration in CSF,The determination of the amount of interleukin-10 in a sample,Interleukin-10 (IL-10) in Plasma,0.726369309212563,False
IL_8,Interleukin 8 concentration in CSF,"Interleukin-8 (99 aa, ~11 kDa) is encoded by the human CXCL8 gene. This protein is involved in chemotaxis and neutrophil activation.",Interleukin-8 (IL-8) in CSF,0.6872538823418323,True
VEGF,Vascular Endothelial Growth Factor concentration in CSF,The determination of the amount of vascular epithelial growth factor present in a sample.,Vascular Endothelial Growth Factor (VEGF) in Plasma,0.6972637790872162,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
probable_MCI,"Has the participant shown a low cognitive performance, in the range of mild cognitive impairment (MCI), determined by clinical consensus",Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.7122809560680812,False
Sex,Sex,Right_subiculum,Right Subiculum Volume,0.6113329442357611,False
Ethnicity,Ethnicity,Right_HATA,Right HATA Volume,0.6050736558397947,False
Education_years,Total number of years of formal education,The number of education years that a subject has competed.,Education,0.8623314415178854,True
Work_by_category,What kind of work/profession do you have/have you had?,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5396653398206114,False
Height,Height measured at eligibility visit (PREEL00),"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel happy most of the time?",GDS-SF - Feel Happy Most of Time,0.55747825308332,False
Handedness_interpretation,Edinburgh Handedness Inventory Interpretation,The preferred hand of use for controlled and efficient performance of motor tasks.,Handedness,0.6570444842133824,True
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Candidate Age at eligibility visit (PREEL00),The year in which a person was born.,Year of Birth,0.6275776980087099,False
CAIDE_BMI_subscore,CAIDE body mass index (BMI) subscore,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.6535067882766996,True
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7192525348154364,False
CDR_total_score,Clinical Dementia Rating (CDR) total score,Clinical Dementia Rating (CDR) Sum of Boxes.,Clinical Dementia Rating Scale Sum of Boxes (CDRSB),0.9218133556434348,False
MOCA_total_score,Montreal Cognitive Assessment (MoCA) Total Score,Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.8390342080452668,False
orientation_score,MoCA total orientation score,Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.8186358442476538,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Candidate Age at eligibility visit (PREEL00),The year in which a person was born.,Year of Birth,0.6275776980087099,False
treatment_diabetes,Treatment history for diabetes,Medical history pertaining to the metabolic system,Metabolic,0.7124390098217397,False
past_cancer,Any diagnosis of cancer in the past?,Medical history pertaining to lymph,Lymphatic,0.6545811672116247,False
past_depression,Any diagnosis of depression in the past?,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel happy most of the time?",GDS-SF - Feel Happy Most of Time,0.7614850816188691,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
APOE,"APOE genotype (SNP: rs429358/rs7412), alleles e2,e3,e4","Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,0.7221486369816309,True
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7192525348154364,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Candidate Age at the time of the questionnaire on medication use,"Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.",FAQ - Remember,0.7159618648122937,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7192525348154364,False
CONP_ID,Participant identification code in the Open/Registered data repositories,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.6766080941388399,True
Visit_label,Time point at which data were collected,Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.5560948872991759,False
Candidate_Age,Age in months at the time of test,The month in which a person was born.,Month of Birth,0.7192525348154364,False
